,0
0,0.46102194452910705
1,0.32977024426350854
2,0.47064213930521265
3,0.3793125815765534
4,0.39123886358104115
5,0.45351640759930917
6,0.5342459462481828
7,0.45434836939957335
8,0.34341836056861963
9,0.3787076343345774
10,0.3293407182419153
11,0.3678733287437951
12,0.42844056254626206
13,0.42302634770146624
14,0.472495694121851
15,0.4433534548353201
16,0.5206165029773413
17,0.275011795832874
18,0.39093811168681636
19,0.4341563480957604
20,0.3662746461731056
21,0.3930081524692924
22,0.44360383196033853
23,0.32879715412574434
24,0.31100331138727644
25,0.4500892895166442
26,0.39153070763433456
27,0.3923956665096561
28,0.4144115366498786
29,0.4402345012500453
30,0.4666572908956328
31,0.40076558329408074
32,0.3995277031882304
33,0.42130975106159185
34,0.4469059506986968
35,0.4615010667479427
36,0.4216603339090386
37,0.5068376017764619
38,0.42342751548969165
39,0.3540067238856148
40,0.33155017149529303
41,0.4763845379654825
42,0.4278419512882874
43,0.35820029386745034
44,0.3487787259981713
45,0.4633667732333811
46,0.33404310280093114
47,0.41875746360720456
48,0.40762415899775734
49,0.41899523316062176
50,0.44298728214790395
51,0.42724279354885797
52,0.3945428113467775
53,0.4493752070776498
54,0.48087568390159063
55,0.35020633953063096
56,0.3724975628478219
57,0.3396371510324028
58,0.4212050333086602
59,0.5613087928234475
60,0.42109009579900847
61,0.3284641938029716
62,0.4493468454739409
63,0.3801401690755386
64,0.4479909767015615
65,0.43347823504174776
66,0.4822635194780272
67,0.4421755819893454
68,0.4641216092654678
69,0.47150899116123135
70,0.27454231433506043
71,0.3897254615777567
72,0.3838040231636696
73,0.48806908462867016
74,0.3628785261945883
75,0.3128477451544809
76,0.4905657752894947
77,0.40525561312607944
78,0.41522748243310387
79,0.4533359240069084
80,0.4846298715927011
81,0.44712416595221227
82,0.48616234887737475
83,0.37446659943665894
84,0.3774070075002718
85,0.37418554517605235
86,0.4995352402583576
87,0.3716640066563292
88,0.3608530633231816
89,0.3884487430435617
90,0.426253167429371
91,0.37732494448556625
92,0.4624208123482735
93,0.43781075221401533
94,0.4706643307115965
95,0.5149317004239284
96,0.4094250893964825
97,0.39569092137868894
98,0.5224260547742413
99,0.35678996771044524
