,0
0,1.0
1,-0.2594
2,0.5498
3,-0.732
4,-0.3906
5,1.0
6,1.0
7,1.0
8,0.9946
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,0.5704
34,-0.2528
35,1.0
36,1.0
37,-0.093
38,-0.0852
39,-0.9058
40,-0.8178
41,-0.3254
42,0.9492
43,-0.2996
44,1.0
45,1.0
46,1.0
47,1.0
48,0.6166
49,-0.2718
50,1.0
51,1.0
52,1.0
53,0.9998
54,-0.9636
55,-0.9486
56,1.0
57,0.9999
58,0.2892
59,-0.4028
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,0.922
69,-0.6724
70,-0.7424
71,0.9994
72,0.9976
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,0.9923
80,0.987
81,-0.093
82,-0.0852
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,0.9702
94,0.4854
95,0.9994
96,0.9998
97,1.0
98,0.9994
99,1.0
100,1.0
101,1.0
102,0.9995
103,0.9958
104,0.9998
105,-0.9624
106,-0.9624
107,-0.9624
108,-0.9624
109,0.9998
110,0.9932
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,0.3628
118,0.8786
119,1.0
120,0.9996
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,0.1624
134,0.2712
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,0.9998
142,1.0
143,1.0
144,1.0
145,1.0
146,0.9938
147,-0.9058
148,-0.8178
149,1.0
150,1.0
151,-0.7292
152,-0.28
153,0.9998
154,0.9998
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,-0.682
170,-0.7362
171,1.0
172,0.994
173,-0.7256
174,-0.726
175,-0.9636
176,-0.9486
177,0.9702
178,0.4854
179,1.0
180,1.0
181,1.0
182,1.0
183,0.53
184,-0.2644
185,0.8307
186,0.2953
187,-0.605
188,-0.3596
189,-0.431
190,-0.5292
191,0.9961
192,0.9877
193,0.8996
194,0.9784
195,-0.7796
196,-0.7024
197,1.0
198,1.0
199,-0.7894
200,-0.7506
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,0.9998
208,1.0
209,1.0
210,1.0
211,-0.6538
212,0.5748
213,-0.2804
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,0.5546
225,-0.2632
226,0.5214
227,-0.2586
228,0.4444
229,-0.3566
230,0.9996
231,0.998
232,1.0
233,1.0
234,-0.7224
235,-0.708
236,0.2892
237,-0.4028
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,0.9998
245,0.9884
246,0.565
247,-0.2602
248,1.0
249,1.0
250,-0.7358
251,0.7691
252,0.3648
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,0.9938
273,1.0
274,1.0
275,1.0
276,1.0
277,-0.6488
278,-0.725
279,0.9958
280,1.0
281,-0.9664
282,-0.8148
283,1.0
284,1.0
285,1.0
286,1.0
287,0.9753
288,0.9678
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,0.9998
302,0.9958
303,1.0
304,1.0
305,0.9988
306,0.9898
307,1.0
308,1.0
309,0.7921
310,0.3693
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,0.9978
321,1.0
322,1.0
323,0.9976
324,0.9744
325,1.0
326,1.0
327,1.0
328,0.8442
329,0.3631
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,0.9936
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,0.9982
350,1.0
351,1.0
352,-0.7454
353,-0.64
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,0.9982
365,1.0
366,1.0
367,0.9998
368,0.9994
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,0.9624
379,0.9932
380,-0.9664
381,-0.8148
382,1.0
383,1.0
384,1.0
385,1.0
